"id","setor","subSetor","empName","ultBal","codigo","roic","cresRec5a","nAcoes","divBruta","disponib","ativCirc","ativos","patLiq","recLiq12m","ebit12m","LucLiq12m","recLiq3m","ebit3m","LucLiq3m","ultInsert","ultAt"
"401","Tecidos, Vestuário e Calçados","Fios e Tecidos","CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA PN","2022-09-30","CEDO4","7.3","17.4","10000000","248723000","19631000","510531000","934616000","117761000","1210890000","52807000","-20965000","350858000","32046000","14956000","2023-01-14 15:15:12","2023-01-14 15:15:12"
"402","Tecidos, Vestuário e Calçados","Vestuário","TRACK FIELD PN","2022-09-30","TFCO4","28.3","32","159718000","88827000","53347000","374537000","517058000","317938000","533773000","120160000","96803000","138147000","29300000","24485000","2023-01-14 15:15:13","2023-01-14 15:15:13"
"403","Madeira e Papel","Papel e Celulose","KLABIN PN N2","2022-09-30","KLBN4","19.6","19.5","5617890000","27687200000","6252590000","12510500000","46125300000","9002800000","19530400000","7294630000","4901480000","5488230000","2471480000","1919850000","2023-01-14 15:15:32","2023-01-14 15:15:32"
"404","Transporte","Transporte Hidroviário","TREVISA INVESTIMENTOS SA PN","2022-09-30","LUXM4","15.1","2.2","5196000","11047000","12583000","23831000","153077000","107812000","136844000","20710000","8453000","33392000","4476000","3319000","2023-01-14 15:15:37","2023-01-14 15:15:37"
"405","Comércio","Material de Transporte","WLM PN","2022-09-30","WLMM4","18.3","28.2","36414700","9759000","84017000","386344000","738655000","605078000","1782070000","116281000","113423000","642355000","38156000","32238000","2023-01-14 15:15:43","2023-01-14 15:15:43"
"406","Equipamentos","Equipamentos","BAUMER PN","2022-09-30","BALM4","7.6","5.3","9800000","19574000","38641000","155315000","226905000","136239000","147736000","13642000","25751000","41211000","5887000","3479000","2023-01-14 15:15:47","2023-01-14 15:15:47"
"407","Transporte","Transporte Aéreo","AZUL PN","2022-09-30","AZUL4","12.8","8.2","348004000","23874200000","1103990000","5129420000","18318900000","-20130500000","15224400000","1960620000","-2220760000","4376810000","421829000","0","2023-01-14 15:15:56","2023-01-14 15:15:56"
"408","Material de Transporte","Material Rodoviário","METALURGICA RIOSULENSE S/A PN","2022-09-30","RSUL4","36.3","30.2","5938710","11306000","29300000","178860000","332361000","124136000","384342000","100657000","61812000","113110000","32434000","19732000","2023-01-14 15:15:57","2023-01-14 15:15:57"
"409","Máquinas e Equipamentos","Motores, Compressores e Outros","SCHULZ PN","2022-09-30","SHUL4","17.3","22.7","357375000","841665000","480986000","1501560000","2312190000","1041630000","1998430000","290530000","250334000","599339000","115784000","84261000","2023-01-14 15:15:58","2023-01-14 15:15:58"
"410","Material de Transporte","Material Rodoviário","RECRUSUL PN","2022-09-30","RCSL4","0.3","151.2","37912000","6000","911000","30266000","65721000","-39014000","70443000","211000","-3107000","14636000","-94000","0","2023-01-14 15:16:05","2023-01-14 15:16:05"
"411","Utilidades Domésticas","Eletrodomésticos","WHIRLPOOL S.A. PN","2022-09-30","WHRL4","21.4","14.5","1502790000","806005000","1279860000","5631920000","8094270000","2443420000","10934200000","771711000","541394000","2609330000","164643000","120995000","2023-01-14 15:16:06","2023-01-14 15:16:06"
"412","Energia Elétrica","Energia Elétrica","TRANSMISSÃO PAULISTA PN N1","2022-09-30","TRPL4","11.2","18.9","658883000","8119960000","1353760000","4736440000","32100800000","16073700000","5656100000","3433150000","2582590000","1192690000","600251000","476937000","2023-01-14 15:16:08","2023-01-14 15:16:08"
"413","Transporte","Transporte Aéreo","GOL LINHAS AEREAS INTELIGENTES SA PN","2022-09-30","GOLL4","-12.3","-3.6","418653000","11389900000","494486000","3087440000","16501700000","-21723400000","13394400000","-1727810000","-4601710000","4009610000","130719000","0","2023-01-14 15:16:13","2023-01-14 15:16:13"
"414","Máquinas e Equipamentos","Máq. e Equip. Industriais","BAEDELLA PN","2022-09-30","BDLL4","-5","-33.6","1600000","222402000","815000","362275000","662571000","-181341000","25117000","-31427000","5505000","3672000","-9585000","16218000","2023-01-14 15:16:15","2023-01-14 15:16:15"
"415","Tecidos, Vestuário e Calçados","Fios e Tecidos","DOHLER PN","2022-09-30","DOHL4","1.1","9.6","75645000","93227000","43521000","516962000","967314000","708641000","640614000","10213000","21584000","176697000","-2305000","145000","2023-01-14 15:16:16","2023-01-14 15:16:16"
"416","Siderurgia e Metalurgia","Artefatos de Ferro e Aço","MANGELS PN N1","2022-09-30","MGEL4","22.4","22.3","5783210","755440000","89915000","421854000","653468000","-189125000","1014700000","119227000","82549000","263472000","27898000","584000","2023-01-14 15:16:17","2023-01-14 15:16:17"
"417","Energia Elétrica","Energia Elétrica","CEEE PN N1","2022-09-30","EEEL4","18.9","6","9658000","1026740000","309831000","1115540000","4289460000","1301400000","1337520000","745249000","172193000","384559000","270350000","167689000","2023-01-14 15:16:19","2023-01-14 15:16:19"
"418","Siderurgia e Metalurgia","Artefatos de Ferro e Aço","PANATLANTICA PN","2022-09-30","PATI4","8","30.7","23932000","679610000","657140000","1740260000","2061970000","910125000","2487910000","85636000","74866000","585403000","9771000","19322000","2023-01-14 15:16:31","2023-01-14 15:16:31"
"419","Energia Elétrica","Energia Elétrica","ENERGISA PN","2022-09-30","ENGI4","11.7","15.7","2039090000","27621300000","5781810000","15465200000","59675800000","11665100000","27276200000","6095580000","2346290000","7042670000","1684850000","402118000","2023-01-14 15:16:42","2023-01-14 15:16:42"
"420","Alimentos Processados","Carnes e Derivados","EXCELSIOR PN","2022-09-30","BAUH4","2.4","1.4","5222000","15361000","15458000","51666000","165489000","107672000","183240000","3096000","9113000","47200000","973000","1833000","2023-01-14 15:16:47","2023-01-14 15:16:47"
"421","Embalagens","Embalagens","IGUAÇU PN","2022-09-30","MTIG4","-44.9","-26.2","122351000","102995000","280549","20841900","79151700","-90894800","38593300","-29859500","-53505500","13273700","-6231330","0","2023-01-14 15:16:54","2023-01-14 15:16:54"
"422","Energia Elétrica","Energia Elétrica","CEMIG PN N1","2022-09-30","CMIG4","10.4","10.9","2201370000","11369000000","4769680000","14706100000","54514000000","21073900000","34940900000","4873070000","3648580000","9223310000","1507760000","1181870000","2023-01-14 15:16:55","2023-01-14 15:16:55"
"423","Energia Elétrica","Energia Elétrica","TAESA PN N2","2022-09-30","TAEE4","13.7","23","1033500000","8473410000","1564460000","3620490000","17852100000","6950930000","2824120000","2222360000","1849480000","463793000","280968000","302454000","2023-01-14 15:17:10","2023-01-14 15:17:10"
"424","Energia Elétrica","Energia Elétrica","EMAE PN","2022-09-30","EMAE4","0.3","18.9","36947000","0","390016000","619680000","1889150000","927120000","534616000","4130020","104147000","134030000","-880000","18089000","2023-01-14 15:17:14","2023-01-14 15:17:14"
"425","Comércio","Produtos Diversos","EDITORA SARAIVA PN","2022-09-30","SLED4","-123.7","-55","9635000","85678000","8210000","39940000","136838000","-365842000","82860000","-70390000","152657000","22810000","-36375000","84337000","2023-01-14 15:17:16","2023-01-14 15:17:16"
"426","Energia Elétrica","Energia Elétrica","CEEE-D PN N1","2022-09-30","CEED4","9.4","68.2","68255000","2644630000","591828000","2057530000","6223300000","-2772020000","4595550000","479848000","255529000","1223880000","51332000","0","2023-01-14 15:17:18","2023-01-14 15:17:18"
"427","Energia Elétrica","Energia Elétrica","CELESC PN N2","2022-09-30","CLSC4","7","9.5","38572000","2565210000","1436100000","3462890000","12018300000","2933340000","10304900000","670755000","525463000","2458740000","57382000","76165000","2023-01-14 15:17:25","2023-01-14 15:17:25"
"428","Telecomunicações","Telecomunicações","TELEBRAS PN","2022-09-30","TELB4","-10.2","59","86383000","174756000","1134700000","1510960000","4010210000","1657470000","343884000","-285626000","-151692000","101711000","-77255000","0","2023-01-14 15:17:44","2023-01-14 15:17:44"
"429","Holdings Diversificadas","Holdings Diversificadas","CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA PN","2022-09-30","PEAB4","-1","-51.9","12850000","58287000","190269000","238785000","805014000","678038000","37427000","-6288000","-112023000","11960000","1098000","1775000","2023-01-14 15:17:55","2023-01-14 15:17:55"
"430","Utilidades Domésticas","Utensílios Domésticos","HERCULES S/A PN","2022-09-30","HETA4","23.2","20.8","510000","324582000","0","2244000","12380000","-558599000","3105000","2872000","-1198000","862000","811000","0","2023-01-14 15:18:01","2023-01-14 15:18:01"
"431","Máquinas e Equipamentos","Máq. e Equip. Construção e Agrícolas","METISA PN","2022-09-30","MTSA4","27.5","31.6","8789730","65643300","113613000","461937000","569726000","372456000","774873000","112303000","82265700","228710000","38570800","27739700","2023-01-14 15:18:02","2023-01-14 15:18:02"
"432","Intermediários Financeiros","Bancos","ITAÚSA PN N1","2022-09-30","ITSA4","1.5","15.4","9701410000","13963000000","6576000000","11187000000","95943000000","70827000000","8757000000","1296000000","14468000000","2161000000","332000000","3555000000","2023-01-14 15:18:04","2023-01-14 15:18:04"
"433","Tecidos, Vestuário e Calçados","Fios e Tecidos","SANTANENSE PN","2022-09-30","CTSA4","-1.6","5.3","27825000","165112000","36923000","191447000","618750000","279573000","484656000","-8196000","-34492000","111537000","-6682000","0","2023-01-14 15:18:05","2023-01-14 15:18:05"
"434","Siderurgia e Metalurgia","Siderurgia","FERBASA PN","2022-09-30","FESA4","44.4","24.5","88320000","341414000","829461000","1709440000","3972030000","3040730000","3107000000","1339030000","1146860000","769499000","312576000","277255000","2023-01-14 15:18:11","2023-01-14 15:18:11"
"435","Máquinas e Equipamentos","Armas e Munições","TAURUS ARMAS PN","2022-09-30","TASA4","45.6","40.9","126634000","582723000","343127000","1571080000","2340900000","1083620000","2762450000","845034000","605873000","639972000","170098000","103139000","2023-01-14 15:18:14","2023-01-14 15:18:14"
"436","Comércio","Tecidos, Vestuário e Calçados","GRAZZIOTIN PN","2022-09-30","CGRA4","13.3","10.7","19346900","0","87971000","495922000","1127890000","809426000","675311000","123770000","115968000","142313000","18695000","22137000","2023-01-14 15:18:17","2023-01-14 15:18:17"
"437","Madeira e Papel","Papel e Celulose","MELHORAMENTOS PN","2022-09-30","MSPA4","-1.4","8.1","6405000","141289000","34157000","110413000","1415440000","800313000","188230000","-19518000","-32269000","50451000","-5136000","0","2023-01-14 15:18:20","2023-01-14 15:18:20"
"438","Alimentos Processados","Alimentos Diversos","JOSAPAR S/A PN","2022-09-30","JOPA4","7.3","20","10582000","1339420000","705171000","1869350000","2502670000","571085000","2175820000","118759000","32149000","684992000","41940000","7930000","2023-01-14 15:18:22","2023-01-14 15:18:22"
"439","Tecidos, Vestuário e Calçados","Calçados","ALPARGATAS PN N1","2022-09-30","ALPA4","8.6","0.5","683062000","381066000","240984000","3141500000","7909700000","5860170000","3967490000","609389000","436447000","1089930000","161888000","45121000","2023-01-14 15:18:24","2023-01-14 15:18:24"
"440","Energia Elétrica","Energia Elétrica","DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA PN","2022-09-30","GEPA4","11.3","-0.4","94433000","946456000","162813000","365052000","3757260000","2063530000","1353420000","351450000","148900000","360020000","107475000","56571000","2023-01-14 15:18:29","2023-01-14 15:18:29"
"441","Previdência e Seguros","Seguradoras","Sul America PN","2022-09-30","SULA4","-5.6","1.7","1277530000","3058760000","17331100000","19792400000","30219200000","8363840000","21933200000","-724889000","181422000","5920510000","-123662000","49169000","2023-01-14 15:18:34","2023-01-14 15:18:34"
"442","Tecidos, Vestuário e Calçados","Fios e Tecidos","KARSTEN PN","2022-09-30","CTKA4","4.5","18.9","6205000","564890000","10098000","409588000","602782000","-162561000","614184000","23649000","-15339000","159058000","7724000","0","2023-01-14 15:18:36","2023-01-14 15:18:36"
"443","Tecidos, Vestuário e Calçados","Fios e Tecidos","TEKA S.A. PN","2022-09-30","TEKA4","0.7","17.1","503000","609037000","312000","99359000","1098860000","-1881150000","258913000","4940000","-103304000","66622000","-2262000","0","2023-01-14 15:18:38","2023-01-14 15:18:38"
"444","Construção e Engenharia","Produtos para Construção","HAGA ON","2022-09-30","HAGA4","-16.4","12.1","11900000","26712000","37621200","49784400","59242200","-62754000","28552100","-3335560","3577350","8207820","-139950","338975","2023-01-14 15:18:42","2023-01-14 15:18:42"
"445","Madeira e Papel","Madeira","EUCATEX PN","2022-09-30","EUCA4","13.4","20.9","92619000","622198000","129405000","1379030000","3685580000","2062360000","2581190000","442095000","365503000","672808000","96585000","45047000","2023-01-14 15:18:43","2023-01-14 15:18:43"
"446","Comércio","Tecidos, Vestuário e Calçados","AREZZO CO ON NM","2022-09-30","ARZZ3","14.9","27.4","110186000","411486000","546122000","2291860000","4436420000","2614130000","4015260000","483886000","422615000","1137990000","128274000","99194000","2023-01-14 15:18:46","2023-01-14 15:18:46"
"447","Diversos","Programas de Fidelização","DOTZ SA ON NM","2022-09-30","DOTZ3","-25.9","3.2","132068000","109667000","232105000","279257000","421808000","-135130000","135493000","-38665000","-89021000","39265000","-21221000","0","2023-01-14 15:18:49","2023-01-14 15:18:49"
"448","Comércio","Produtos Diversos","PETZ ON NM","2022-09-30","PETZ3","7.4","35.5","461643000","127931000","262413000","1138240000","3577730000","1831130000","2638740000","220940000","60167000","739902000","58563000","10576000","2023-01-14 15:18:50","2023-01-14 15:18:50"
"449","Agropecuária","Agricultura","AGROGALAXY ON NM","2022-09-30","AGXY3","11.3","87.4","170825000","1947540000","795170000","7106210000","8705720000","1282050000","10704400000","474727000","-65722000","3074310000","182096000","24358000","2023-01-14 15:18:52","2023-01-14 15:18:52"
"450","Construção Civil","Incorporações","CURY S/A ON NM","2022-09-30","CURY3","22.7","36.2","291875000","456021000","634908000","2033840000","2784850000","738300000","2168040000","463945000","341852000","626659000","124950000","89872000","2023-01-14 15:18:54","2023-01-14 15:18:54"
"451","Serv.Méd.Hospit. Análises e Diagnósticos","Serv.Méd.Hospit. Análises e Diagnósticos","FLEURY ON NM","2022-09-30","FLRY3","13","14.2","367197000","3617320000","775474000","1830220000","6784000000","1914900000","4366240000","742682000","347773000","1146630000","213481000","96006000","2023-01-14 15:18:56","2023-01-14 15:18:56"
"452","Material de Transporte","Material Rodoviário","TUPY ON","2022-09-30","TUPY3","15.5","18.3","144178000","3514060000","1968040000","6077770000","8968220000","3107290000","9646340000","890584000","514291000","2694010000","276438000","194289000","2023-01-14 15:18:57","2023-01-14 15:18:57"
"453","Programas e Serviços","Programas e Serviços","MOBLY ON NM","2022-09-30","MBLY3","-16.4","-8.6","106490000","175296000","219589000","518702000","887532000","570425000","651692000","-95046000","-89630000","159638000","-24946000","0","2023-01-14 15:19:00","2023-01-14 15:19:00"
"454","Serviços Diversos","Serviços Diversos","DTCOM ON","2022-09-30","DTCY3","-26.6","-17.3","11131000","1362000","442000","3350000","10675000","-2337000","7841000","-2697000","-3892000","2842000","-544000","0","2023-01-14 15:19:01","2023-01-14 15:19:01"
"455","Viagens e Lazer","Produção de Eventos e Shows","TIME FOR FUN ON NM","2022-09-30","SHOW3","21.6","-40","67413000","117116000","229815000","402869000","606774000","141721000","303127000","44212000","-15684000","53372000","12301000","0","2023-01-14 15:19:13","2023-01-14 15:19:13"
"456","Construção Civil","Incorporações","LAVVI ON NM","2022-09-30","LAVV3","6.7","-23.8","199534000","3841000","482949000","1487520000","1790260000","1143130000","517325000","86697000","106923000","128813000","24104000","27619000","2023-01-14 15:19:15","2023-01-14 15:19:15"
"457","Serv.Méd.Hospit. Análises e Diagnósticos","Serv.Méd.Hospit. Análises e Diagnósticos","ODONTOPREV ON NM","2022-09-30","ODPV3","36.3","4.3","568466000","0","357072000","636223000","2127470000","1206080000","1873770000","632855000","444399000","491219000","141071000","96188000","2023-01-14 15:19:17","2023-01-14 15:19:17"
"458","Serv.Méd.Hospit. Análises e Diagnósticos","Serv.Méd.Hospit. Análises e Diagnósticos","HAPVIDA ON NM","2022-09-30","HAPV3","-0.5","53.3","7144260000","10822200000","3837720000","6945760000","71128000000","49053700000","19845300000","-354002000","-260548000","6321210000","-319801000","34158000","2023-01-14 15:19:18","2023-01-14 15:19:18"
